Symbol;Last;Sector;Yield;Score
A;87.26;Healthcare;0.83;84
AAN;44.12;Consumer Discretionary;0.36;99
AAP;142.91;Consumer Discretionary;0.7;89
AAPL;364.84;Information Technology;0.9;99
ABC;100.67;Healthcare;1.67;88
ABM;35.73;Industrials;2.07;61
ABT;89.62;Healthcare;1.61;71
ACN;217.32;Information Technology;1.47;92
ADC;65.62;Real Estate;3.66;61
ADI;120.1;Information Technology;2.06;63
ADM;39.95;Consumer Staples;3.6;94
ADP;147.45;Information Technology;2.47;97
AEE;68.81;Utilities;2.88;69
AEL;23.32;Financials;1.29;92
AEP;79.3;Utilities;3.53;81
AFG;61.92;Financials;2.91;82
AFL;35.83;Financials;3.13;99
AGCO;54.04;Industrials;1.18;63
AIT;59.91;Industrials;2.14;66
AIZ;100.3;Financials;2.51;61
AJG;97.28;Financials;1.85;85
ALB;73.95;Materials;2.08;99
ALE;53;Utilities;4.66;75
ALL;95.83;Financials;2.25;80
ALLE;98;Industrials;1.31;61
AMAT;59.98;Information Technology;1.47;86
AMGN;235.11;Healthcare;2.72;74
AMH;27.35;Real Estate;0.73;73
AMP;151.55;Financials;2.74;90
AMT;254.36;Real Estate;1.73;78
AMTD;36.75;Financials;3.37;92
ANTM;261;Healthcare;1.46;99
AOS;44.74;Industrials;2.15;99
APD;237.3;Materials;2.26;95
APH;95.2;Information Technology;1.05;87
ARE;166.6;Real Estate;2.55;76
AROW;28.36;Financials;3.67;84
ARTNA;35.2;Utilities;2.84;78
ASML;366.55;Information Technology;0.61;82
ATO;97.07;Utilities;2.37;97
ATR;107.6;Materials;1.34;97
ATRI;661.9;Healthcare;0.94;81
ATVI;76.21;Communications;0.54;99
AUBN;63.4;Financials;1.61;82
AVA;35.07;Utilities;4.62;65
AVB;153.37;Real Estate;4.15;98
AVGO;308.85;Information Technology;4.21;67
AVY;111.37;Materials;2.08;61
AWK;122.22;Utilities;1.8;70
AWR;75.67;Utilities;1.61;98
AXP;97.85;Financials;1.76;80
AYI;86.82;Industrials;0.6;93
BAH;77.53;Information Technology;1.6;62
BANF;38.89;Financials;3.29;99
BAX;85.33;Healthcare;1.15;82
BCO;43.93;Industrials;1.37;88
BCPC;91.24;Materials;0.57;92
BDN;10.83;Real Estate;7.02;61
BDX;228.94;Healthcare;1.38;91
BEN;21.08;Financials;5.12;70
BF.B;63.34;Consumer Staples;1.1;99
BHB;23.9;Financials;3.68;82
BIP;41.49;Utilities;4.68;65
BKH;53.69;Utilities;3.99;77
BLK;546.97;Financials;2.65;98
BLL;69.2;Materials;0.87;81
BMI;60.99;Information Technology;1.11;94
BMO;54.02;Financials;5.7;70
BMRC;32.09;Financials;2.87;75
BMTC;26.83;Financials;3.88;89
BMY;58.18;Healthcare;3.09;79
BNS;41.1;Financials;6.35;70
BOH;61.5;Financials;4.36;74
BR;124.79;Information Technology;1.73;75
BRC;45.73;Industrials;1.9;99
BRO;41;Financials;0.83;99
BXP;90.05;Real Estate;4.35;62
CAH;51.87;Healthcare;3.75;74
CASH;17.39;Financials;1.15;65
CASS;38.23;Information Technology;2.83;99
